IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.94.15,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,25.51
47.243.5.154,2087,2087,true,HKG,Asia Pacific,Hong Kong,52,19.53
8.210.107.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,9.98
38.207.143.37,443,443,true,HKG,Asia Pacific,Hong Kong,121,9.35
35.220.176.53,443,443,true,HKG,Asia Pacific,Hong Kong,168,9.33
47.238.6.102,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,7.62
8.218.181.189,2095,2095,false,HKG,Asia Pacific,Hong Kong,48,7.12
8.218.181.189,8080,8080,false,HKG,Asia Pacific,Hong Kong,49,6.55
8.217.239.116,2052,2052,false,HKG,Asia Pacific,Hong Kong,44,6.41
58.153.173.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,64,6.19
43.155.22.176,443,443,true,HKG,Asia Pacific,Hong Kong,42,6.14
47.76.178.146,8080,8080,false,HKG,Asia Pacific,Hong Kong,45,6.01
8.218.201.73,8080,8080,false,HKG,Asia Pacific,Hong Kong,53,5.93
154.12.178.87,14392,443,true,HKG,Asia Pacific,Hong Kong,196,5.63
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,47,4.53
47.76.178.146,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,4.49
8.217.149.28,2052,2052,false,HKG,Asia Pacific,Hong Kong,54,4.26
8.218.65.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,48,4.24
47.76.178.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,4.08
47.76.178.146,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,4.05
47.238.6.102,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,3.91
8.218.65.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,47,3.76
47.238.6.102,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,3.75
47.238.235.163,443,443,true,HKG,Asia Pacific,Hong Kong,48,3.69
47.76.32.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,3.63
47.76.32.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,54,3.52
123.58.212.186,35123,443,true,HKG,Asia Pacific,Hong Kong,52,3.47
47.76.32.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,3.42
43.154.64.72,443,443,true,HKG,Asia Pacific,Hong Kong,53,3.29
8.210.107.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,56,3.28
8.210.107.246,2095,2095,false,HKG,Asia Pacific,Hong Kong,46,2.99
47.76.146.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,53,2.93
8.217.149.28,80,80,false,HKG,Asia Pacific,Hong Kong,44,2.84
47.238.6.102,80,80,false,HKG,Asia Pacific,Hong Kong,45,2.78
202.81.231.150,80,80,false,HKG,Asia Pacific,Hong Kong,65,2.72
47.76.146.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,49,2.52
203.9.150.104,443,443,true,HKG,Asia Pacific,Hong Kong,346,2.48
8.218.181.189,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,2.45
47.238.6.102,2052,2052,false,HKG,Asia Pacific,Hong Kong,46,2.21
58.82.242.199,21154,80,false,HKG,Asia Pacific,Hong Kong,70,2.20
47.76.32.108,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,2.14
58.82.242.199,11130,443,true,HKG,Asia Pacific,Hong Kong,69,1.78
8.210.107.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,44,1.61
58.82.242.199,23559,443,true,HKG,Asia Pacific,Hong Kong,70,0.76
47.243.204.32,8443,443,true,HKG,Asia Pacific,Hong Kong,44,0.34
154.88.31.91,30000,443,true,HKG,Asia Pacific,Hong Kong,49,0.28
152.32.252.175,8969,443,true,HKG,Asia Pacific,Hong Kong,47,0.16
152.32.130.150,802,443,true,HKG,Asia Pacific,Hong Kong,49,0.13
45.207.11.69,8899,443,true,HKG,Asia Pacific,Hong Kong,44,0.11
38.207.179.190,33135,443,true,HKG,Asia Pacific,Hong Kong,90,0.09
154.204.60.218,29876,443,true,HKG,Asia Pacific,Hong Kong,90,0.08
38.181.35.164,12772,443,true,HKG,Asia Pacific,Hong Kong,45,0.06
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,44,0.00
156.230.12.71,443,443,true,HKG,Asia Pacific,Hong Kong,133,0.00
139.99.66.76,443,443,true,SIN,Asia Pacific,Singapore,136,0.00
120.220.19.109,2082,2082,false,HKG,Asia Pacific,Hong Kong,28,0.00
147.78.0.247,443,443,true,HKG,Asia Pacific,Hong Kong,223,0.00
120.220.19.103,2082,2082,false,HKG,Asia Pacific,Hong Kong,26,0.00
120.220.19.109,2052,2052,false,HKG,Asia Pacific,Hong Kong,28,0.00
219.76.13.180,443,443,true,HKG,Asia Pacific,Hong Kong,159,0.00
47.76.32.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,49,0.00
